alimento,classificacao
ABACAXI,frutas e derivados
ABACAXI CRU,frutas e derivados
ABÓBORA COZIDA,legumes e derivados
ABÓBORA MORANGA REFOGADA,legumes e derivados
ABOBRINHA COZIDA,legumes e derivados
ABOBRINHA ENSOPADA,legumes e derivados
ABOBRINHA ITALIANA COZIDA,legumes e derivados
ABOBRINHA ITALIANA REFOGADA,legumes e derivados
ACELGA,verduras
ACHOCOLATADO,produtos açucarados
ACHOCOLATADO EM PÓ,produtos açucarados
AÇUCAR,produtos açucarados
AÇÚCAR CRISTAL,produtos açucarados
AGRIÃO,verduras
AGRIÃO CRU,verduras
ÁGUA DE COCO,bebidas
AIPIM,leguminosas e derivados
AIPIM COZIDO,leguminosas e derivados
ALECRIM SECO,aromatizantes
ALFACE,verduras
"ALFACE CRESPA, CRUA",Verduras
ALHO,Aromatizantes
ALHO CRU,Aromatizantes
ALMÔNDEGAS,Carnes e derivados
AMEIXA EM CALDA,Produtos açucarados
AMIDO,Cereais e derivados
AMIDO DE MILHO,Cereais e derivados
APRESUNTADO,Carnes e derivados
ARROZ,Cereais e derivados
ARROZ COZIDO,Cereais e derivados
ARROZ DOCE,Alimentos preparados
ARROZ PAPA,Cereais e derivados
AVEIA,Cereais e derivados
AVEIA EM FLOCOS,Cereais e derivados
AZEITE,Gorduras e óleos
"AZEITE, DE OLIVA, EXTRA VIRGEM",Gorduras e óleos
AZEITONA VERDE EM CONSERVA,Outros alimentos processados
BACON,Carnes e derivados
BANANA DA TERRA COZIDA,Frutas e derivados
BANANA MAÇÃ,Frutas e derivados
BANANA NANICA,frutas e derivados
BANANA PRATA,frutas e derivados
BANANA-PRATA,frutas e derivados
BANANA-TERRA FRITA,frutas e derivados
BATATA BAROA COZIDA,legumes e derivados
BATATA COZIDA,legumes e derivados
BATATA DOCE,legumes e derivados
BATATA DOCE CORADA,legumes e derivados
BATATA DOCE COZIDA,legumes e derivados
BATATA INGLESA COZIDA,legumes e derivados
BATATA INGLESA SAUTÉ,legumes e derivados
BERINJELA COZIDA,verduras
BETERRABA COZIDA,verduras
BETERRABA RALADA,verduras
BISCOITO SAL CREAM CRACKER 6 UNIDADES,outros alimentos processados
BOLINHO DE ARROZ,outros alimentos processados
BRÓCOLIS,verduras
BRÓCOLIS COZIDO,verduras
BRÓCOLIS REFOGADO,verduras
CAÇÃO EM POSTA,peixes e frutos do mar
CAÇÃO EM POSTA COZIDA,peixes e frutos do mar
CAÇÃO EM POSTA DESFIADO,peixes e frutos do mar
CAFÉ,bebidas
CANJIQUINHA,cereais e derivados
CARNE (PATINHO),carnes e derivados
CARNE ASSADA (LAGARTO),carnes e derivados
CARNE MOÍDA,carnes e derivados
CARNE MOÍDA REFOGADA,carnes e derivados
CARNE MOÍDA REFOGADA (PATINHO MOÍDO),carnes e derivados
CARNE SUÍNA,carnes e derivados
"CARNE, BOVINA",carnes e derivados
"CAPA DE CONTRA-FILÉ, SEM GORDURA, GRELHADA",carnes e derivados
"CARNE, BOVINA, PATINHO, SEM GORDURA, GRELHADO",carnes e derivados
CEBOLA,verduras
CEBOLA BRANCA CRUA,verduras
CEBOLINHA CRUA,verduras
CEBOLINHA VERDE,verduras
CENOURA,verduras
CENOURA COZIDA,verduras
CENOURA CRUA,verduras
CENOURA CRUA RALADA,verduras
CENOURA RALADA,legumes e derivados
CHÁ DE CAMOMILA,bebidas
EBULIÇÃO,outros alimentos processados
CHÁ DE ERVA DOCE,bebidas
CHÁ,bebidas
ERVA-DOCE,aromatizantes
INFUSÃO 5%,bebidas
"CHÁ, MATE",bebidas
INFUSÃO 5%,bebidas
CHUCHU,legumes
CHUCHU COZIDO,legumes
CHUCHU ENSOPADO,alimentos preparados
CHUCHU REFOGADO,alimentos preparados
CLARA DE OVO COZIDA,ovos e derivados
CLARA DE OVOS,ovos e derivados
COENTRO,verduras
COUVE,verduras
COUVE MANTEIGA COZIDA,verduras
COUVE MANTEIGA CRUA,verduras
COUVE-FLORE,legumes
COUVE-FLORE COZIDA,legumes
COUVE-FLORE REFOGADA,alimentos preparados
CREME DE ARROZ EM PÓ,cereais e derivados
CREMOGEMA TRADICIONAL,outros alimentos processados
CURAU,alimentos preparados
EMPADÃO DE FRANGO,alimentos preparados
ERVILHA EM CONSERVA,leguminosas e derivados
ERVILHA ENLATADA DRENADA,leguminosas e derivados
ESPAGUETE,cereais e derivados
ESPAGUETE AO ALHO E ÓLEO,alimentos preparados
ESPAGUETE COZIDO,cereais e derivados
ESPINAFRE COZIDO,verduras
ESPINAFRE REFOGADO,verduras
FARINHA DE MANDIOCA,cereais e derivados
FARINHA DE MILHO,cereais e derivados
FARINHA DE TRIGO,cereais e derivados
FARINHA LÁCTEA,cereais e derivados
FEIJÃO CARIOCA COZIDO (50% GRÃOS/CALDO),leguminosas e derivados
FEIJÃO COZIDO (SÓ CALDO),leguminosas e derivados
FEIJÃO COZIDO (SÓ GRÃOS),leguminosas e derivados
FEIJÃO INTEIRO (50% GRÃOS/50% CALDO),leguminosas e derivados
FEIJÃO PRETO COZIDO (50% GRÃO/50% CALDO),leguminosas e derivados
FEIJÃO PRETO COZIDO (50% GRÃOS/CALDO),leguminosas e derivados
FEIJÃO PRETO INTEIRO,leguminosas e derivados
FILE DE FRANGO COM MOLHO BRANCO E ERVAS,alimentos preparados
FILÉ DE FRANGO EMPANADO,carnes e derivados
FOLHA DE COENTRO CRUA,verduras
FRANGO DESFIADO,carnes e derivados
FRANGO EM ISCAS,carnes e derivados
FUBÁ,cereais e derivados
FUBÁ CRU,cereais e derivados
GELATINA DE CEREJA,produtos açucarados
GELATINA DE FRAMBOESA,produtos açucarados
GELATINA DE LIMÃO,produtos açucarados
GELATINA DE MORANGO,produtos açucarados
GELATINA DE UVA,produtos açucarados
GELATINA DIET DE LIMÃO,produtos açucarados
GELATINA DIET DE MORANGO,produtos açucarados
GELATINA DIET DE UVA,produtos açucarados
GELATINA DIET QUALQUER SABOR,produtos açucarados
GELEIA DE MOCOTÓ,outros alimentos processados
GOIABA VERMELHA CRUA,frutas
HORTELÃ,verduras
INHAME COZIDO,legumes e derivados
JILÓ COZIDO,Verduras
LAGARTO BOVINO ASSADO,Carnes e derivados
LARANJA LIMA,Frutas e derivados
LARANJA PERA,Frutas e derivados
"LASANHA (PRESUNTO, QUEIJO E MOLHO À BOLONHESA)",Alimentos preparados
LEITE DE VACA EM PÓ,Leites e derivados
LEITE DE VACA INTEGRAL,Leites e derivados
LEITE EM PÓ DESNATADO,Leites e derivados
LEITE EM PÓ DESNATADO ENRIQUECIDO COM CÁLCIO,Leites e derivados
LIMÃO TAHITI,Frutas e derivados
"LINGUIÇA (SUÍNA, BOVINA, MISTA)",Carnes e derivados
LINGUIÇA CALABRESA,Carnes e derivados
MAÇÃ,Frutas e derivados
MAÇÃ FUJI,Frutas e derivados
MAÇÃ FUJI COM CASCA,Frutas e derivados
MACARRÃO COZIDO,Cereais e derivados
MACARRÃO PARAFUSO AO ALHO E ÓLEO,Alimentos preparados
MACARRÃO PARAFUSO COZIDO,Cereais e derivados
"MAIONESE (BATATA, CENOURA, VAGEM E MAIONESE)",Outros alimentos processados
MAMÃO,Frutas e derivados
"MAMÃO PAPAIA, CRU",frutas e derivados
"MANGA, TOMMY ATKINS CRUA",frutas e derivados
MANJERICÃO,aromatizantes
MANJERICÃO SECO,aromatizantes
MANJERONA SECA,aromatizantes
MARGARINA,gorduras e óleos
MARGARINA COM SAL,gorduras e óleos
MARGARINA SEM SAL,gorduras e óleos
MELANCIA,frutas e derivados
MELÃO,frutas e derivados
MILHO EM ESPIGA,legumes e derivados
MILHO ENLATADO DRENADO,leguminosas e derivados
MOLHO AO SUGO,outros alimentos processados
MOLHO BRANCO,outros alimentos processados
MOLHO DE LIMÃO,outros alimentos processados
MOLHO DE MARACUJÁ,outros alimentos processados
MOLHO DE TOMATE,outros alimentos processados
MOLHO MADEIRA,outros alimentos processados
MOLHO SUGO,outros alimentos processados
MOLHO VERMELHO TOMATE SEM PELE,outros alimentos processados
MOUSSE DE MARACUJÁ,outros alimentos processados
MUCILON DE ARROZ,cereais e derivados
MUCILON DE MILHO,cereais e derivados
MULTICEREAIS,cereais e derivados
MUSSE DE MARACUJÁ,outros alimentos processados
NESTON,cereais e derivados
NOVOMILK BANANA,leites e derivados
NUTRI RENAL,outros alimentos processados
ÓLEO VEGETAL,gorduras e óleos
OVO DE GALINHA,ovos e derivados
OVO DE GALINHA INTEIRO COZIDO,ovos e derivados
OVO DE GALINHA INTEIRO FRITO,ovos e derivados
OVOS,ovos e derivados
PAÇOCA,produtos açucarados
