,ingrediente,qtde,ENERGIA (kcal),PROTEÍNA (g),LIPÍDEOS (g),CARBOIDRATO (g),FIBRA ALIMENTAR (g),CÁLCIO (mg),FÓSFORO (mg),FERRO (mg),SÓDIO (mg),POTÁSSIO (mg),"VIT, C (mg)",FONTE
0,Abacaxi,100.0,0.0,0.858695652173913,0.123333333333333,0.0,0.986666666666666,0.0,12.78,0.256666666666666,0.0,131.34,0.0,"Abacaxi, cru/TACO"
1,Abacaxi cru,5.0,0.0,0.858695652173913,0.123333333333333,0.0,0.986666666666666,0.0,12.78,0.256666666666666,0.0,131.34,0.0,"Abacaxi, cru/TACO"
5,Abóbora cozida,30.0,0.0,0.39375,0.799,0.0,0.0,19.08,0.0,0.113,131.0,0.0,0.0,"Abóbora moranga refogada TACO com sódio TBCA (Abóbora, moranga, refogada, c/ sal)"
10,Abóbora moranga refogada,50.0,0.0,0.39375,0.799,0.0,0.0,19.08,0.0,0.113,0.0,0.0,0.0,"Abóbora, moranga, refogada/ TACO"
14,Abobrinha cozida,90.0,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.159666666666666,131.0,0.0,2.13,"Abobrinha, italiana, cozida/TACO com sódio TBCA (Abobrinha, italiana, c/ casca, refogada, c/ saL)"
17,Abobrinha ensopada,100.0,42.3,0.91,2.83,4.31,1.4,27.0,39.0,0.36,1.0,192.0,5.5,Abobrinha ensopada DIETBOX/IBGE
19,Abobrinha italiana cozida,20.0,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.159666666666666,131.0,0.0,2.13,"Abobrinha, italiana, cozida/TACO com sódio TBCA (Abobrinha, italiana, c/ casca, refogada, c/ saL)"
28,Abobrinha italiana refogada,50.0,0.0,0.0,0.821333333333333,0.0,1.38,0.0,0.0,0.358,0.0,0.0,7.53,"Abobrinha, italiana, refogada/TACO"
31,Acelga,10.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.269333333333333,0.0,0.0,22.55,"Acelga,crua/TACO"
34,Achocolatado,20.0,401.02,0.0,0.0,0.0,3.89,0.0,0.0,5.36,0.0,496.45,0.0,"Achocolatado, pó/TACO"
35,Achocolatado em pó,5.0,401.02,0.0,0.0,0.0,3.89,0.0,0.0,5.36,0.0,496.45,0.0,"Achocolatado, pó/TACO"
36,Açucar,20.0,0.0,0.32,0.0,99.61,0.0,0.0,0.0,0.163333333333333,0.0,2.56,0.0,Açúcar cristal TACO
37,Açúcar cristal,5.0,0.0,0.32,0.0,99.61,0.0,0.0,0.0,0.163333333333333,0.0,2.56,0.0,"Açúcar,cristal/ TACO"
59,Agrião,10.0,0.0,0.0,0.236666666666666,0.0,0.0,132.53,0.0,0.0,0.0,217.66,60.1,"Agrião, cru/TACO"
62,Agrião cru,10.0,0.0,0.0,0.236666666666666,0.0,0.0,132.53,0.0,0.0,0.0,217.66,60.1,"Agrião, cru/TACO"
67,Água de coco,160.0,0.0,0.0,0.0,0.0,0.130333333333333,0.0,0.0,0.0,0.0,0.0,0.0,Água de coco/TACO
68,Aipim,80.0,125.0,0.6,0.3,30.1,1.6,19.0,22.0,0.1,189.0,100.0,11.1,"Aipim cozido DIETBOX/IBGE  com sódio TBCA (Mandioca, cozida, drenada, c/ óleo de soja, c/ sal)"
70,Aipim cozido,65.0,125.0,0.6,0.3,30.1,1.6,19.0,22.0,0.1,1.0,100.0,11.1,Aipim cozido DIETBOX/IBGE
77,Alecrim seco,1.0,331.0,4.88,15.2,64.1,35.3,1280.0,70.0,29.3,49.5,955.0,61.2,Alecrim seco DIETBOX/TUCUNDUVA
78,Alface,10.0,0.0,0.0,0.16,0.0,0.0,37.98,0.0,0.396666666666666,3.38,0.0,0.0,"Alface, crespa, crua/ TACO"
82,"Alface crespa, crua",15.0,0.0,0.0,0.16,0.0,0.0,37.98,0.0,0.396666666666666,3.38,0.0,0.0,"Alface, crespa, crua/TACO"
86,Alho ,10.0,0.0,0.0,0.22,0.0,0.0,13.56,149.09,0.8,5.36,0.0,0.0,"Alho, cru/ TACO"
87,Alho cru,5.0,0.0,0.0,0.22,0.0,0.0,13.56,149.09,0.8,5.36,0.0,0.0,"Alho, cru/ TACO"
88,Alho cru ,5.0,0.0,0.0,0.22,0.0,0.0,13.56,149.09,0.8,5.36,0.0,0.0,"Alho, cru/TACO"
89,Almôndegas,50.0,230.0,15.06,12.79,7.05,0.0,20.05,0.0,2.44,0.0,0.0,3.2,Almôndega Tabela para avaliação de consumo alimentar em medeidas caseiras (receita elaborada pela equipe e a0lisada segundo IBGE e/ou GF.
92,Almôndegas ,50.0,230.0,15.06,12.79,7.05,0.0,20.05,0.0,2.44,1031.0,537.0,3.2,"Almôndega Tabela para avaliação de consumo alimentar em medeidas caseiras (receita elaborada pela equipe e a0lisada segundo IBGE e/ou GF) com sódio e potássio TBCA (Almôndega, boi, frita)"
96,Ameixa em calda,10.0,0.0,0.408333333333333,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,Ameixa em calda enlatada TACO
97,Amido,8.0,0.0,0.597826086956521,0.0,0.0,0.7433333,0.0,0.0,0.127666666666666,0.0,8535.0,0.0,"Milho, amido, cru/TACO"
98,Amido de milho,8.0,0.0,0.597826086956521,0.0,0.0,0.7433333,0.0,0.0,0.127666666666666,0.0,8535.0,0.0,"Milho, amido, cru/TACO"
100,Amido de milho ,7.0,0.0,0.597826086956521,0.0,0.0,0.7433333,0.0,0.0,0.127666666666666,0.0,8535.0,0.0,"Milho, amido, cru. TACO"
103,Apresuntado ,15.0,0.0,13.45,0.0,0.0,0.0,0.0,0.0,0.877666666666666,0.0,0.0,0.0,Apresuntado/TACO
104,Arroz,100.0,0.0,0.0,0.227,0.0,0.0,0.0,0.0,0.0766666666666666,1.0,0.0,0.0,"Arroz, tipo 1, cozido/TACO"
109,Arroz ,60.0,0.0,0.0,0.227,0.0,0.0,0.0,0.0,0.0766666666666666,190.0,0.0,0.0,"Arroz, tipo 1, cozido/TACO"
129,Arroz cozido,20.0,0.0,0.0,0.227,0.0,0.0,0.0,0.0,0.0766666666666666,1.0,0.0,0.0,Arroz Tipo 1 cozido/TACO
130,Arroz doce,160.0,169.33,3.91,2.32,32.99,0.42,86.05,89.2,1.16,33.1,127.98,0.82,Arroz doce DIETBOX/TUCUNDUVA
131,Arroz papa,55.0,0.0,0.0,0.227,0.0,0.0,0.0,0.0,0.0766666666666666,190.0,0.0,0.0,Arroz Tipo 1 cozido/TACO
137,Arroz papa ,55.0,0.0,0.0,0.227,0.0,0.0,0.0,0.0,0.0766666666666666,190.0,0.0,0.0,Arroz Tipo 1 cozido/TACO
138,Aveia,8.0,0.0,0.0,0.0,0.0,9.13,47.89,0.0,0.0,0.0,0.0,1.35,"Aveia, flocos, crua/TACO"
140,Aveia em flocos,8.0,0.0,0.0,0.0,0.0,9.13,47.89,0.0,0.0,0.0,0.0,1.35,"Aveia, flocos, crua/TACO"
141,Azeite,5.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Azeite, de oliva, ex0a virgem/TACO"
144,"Azeite, de oliva, extra virgem",5.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Azeite, de oliva, extra virgem/TACI"
145,Azeitona verde em conserva,5.0,0.0,0.947916666666666,0.0,0.0,0.0,0.0,5.36,0.176333333333333,0.0,0.0,0.0,"Azeitona, verde, conserva/TACO"
146,Bacon,5.0,889.0,0.0,98.59,0.0,0.0,0.66,0.0,0.0,545.2,0.12,0.0,Bacon DIETBOX/TUCUNDUVA
150,Bacon ,5.0,889.0,0.0,98.59,0.0,0.0,0.66,0.0,0.0,545.2,0.12,0.0,Bacon DIETBOX/TUCUNDUVA
151,Banana da terra cozida,50.0,89.0,1.09,0.33,22.84,2.6,5.0,22.0,0.26,1.0,358.0,8.7,"Banana (ouro, prata, d´água, da terra, etc.) Cozido(a) DIETBOX/IBGE"
152,Banana maçã,65.0,0.0,0.0,0.06,0.0,0.0,3.22,0.0,0.203333333333333,0.0,0.0,0.0,"Banana, maçã, crua/TACO"
153,Banana nanica,120.0,0.0,0.0,0.116666666666666,0.0,0.0,0.0,26.72,0.346666666666666,0.0,376.47,5.86,"Banana, nanica, crua/TACO"
154,Banana prata,100.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.38,0.0,0.0,21.59,"Banana, prata, crua/TACO"
155,Banana-prata,40.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.38,0.0,0.0,21.59,Banana prata crua TACO
157,Banana-terra frita,5.0,213.11,1.22,13.25,25.47,2.9,5.58,24.54,0.3,1.12,399.28,9.7,DIETBOX
160,Batata baroa cozida,50.0,0.0,0.852083333333333,0.166333333333333,0.0,0.0,11.85,0.0,0.423666666666666,0.0,0.0,17.1,"Batata, baroa, cozida/TACO"
167,Batata Cozida,5.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.194,0.0,0.0,3.76,"Batata, inglesa, cozida/TACO"
169,Batata doce,65.0,0.0,0.641666666666666,0.0876666666666666,0.0,0.0,0.0,0.0,0.187,200.0,148.44,0.0,"Batata, doce, cozidaTACO com sódio TBCA ( Batata, doce, s/ casca, assada, c/ sal)"
170,Batata doce corada,100.0,0.0,0.641666666666666,0.0876666666666666,0.0,0.0,0.0,0.0,0.187,200.0,148.44,0.0,"Batata, doce, cozidaTACO com sódio TBCA ( Batata, doce, s/ casca, assada, c/ sal)"
172,Batata doce cozida,100.0,0.0,0.641666666666666,0.0876666666666666,0.0,0.0,0.0,0.0,0.187,200.0,148.44,0.0,"Batata, doce, cozidaTACO com sódio TBCA ( Batata, doce, s/ casca, assada, c/ sal)"
173,Batata inglesa cozida,20.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.194,0.0,0.0,3.76,"Batata, inglesa, cozida/TACO"
